Catalyst Products Export 
Report Generated at: Tue Oct 14 2025 23:45:49 GMT+0800 (China Standard Time)
ASIN,Product Name,Brand,Category,Revenue (Monthly),Units Sold (Monthly),Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight,Variant Differences
"B0FMF2376P","HIDLY Halloween Demon Costumes Pop Singer Embroidery Coat Top Shorts Costume Dance Stage Outfit Set (Green  7-8 Years)","HIDLY","Clothing, Shoes & Jewelry","$689,589.32","23,017","$29.96","$5.48","$24.48","127","3","7","3","08/14/2025","Yangqiangshangmao","5.0","14.173 x 7.874 x 1.575 in","Large standard","0.661 lb","Color Name, Size Name"
"B0CSLQDLYJ","Skechers Women's Summits Hands-Free Slip-Ins – Memory Foam Insole  Heel Pillow  Vegan Materials Sneaker  Black/Turquiose  9","Skechers","Clothing, Shoes & Jewelry","$1,395,314.74","23,263","$59.98","$17.31","$42.67","132","15","7","1","01/17/2024","Amazon","4.6","5.08 x 8.62 x 12.8 in","Large standard","1.479 lb","Color, Size"
"B0FDR5M79R","Wrangler Authentics Men's Regular Fit Comfort Flex Waist Jean  Stone Grey Canvas  36 x 30","Wrangler Authentics","Clothing, Shoes & Jewelry","$915,627.36","26,867","$34.08","$13.18","$20.90","133","1","5","1","07/21/2025","Amazon.com","4.0","2.76 x 11.18 x 14.72 in","Large standard","1.12 lb","N.A."
"B07YH27LG8","Wrangler Authentics Men's Classic 5-Pocket Regular Fit Cotton Jean  Vintage Blue Grey  29W x 30L","Wrangler Authentics","Clothing, Shoes & Jewelry","$593,609.81","19,469","$30.49","$12.56","$17.93","133","38","5","1","09/02/2025","Amazon.com","4.0","5.276 x 7.953 x 10 in","Large standard","1.523 lb","Color, Size"
"B0DPZYXVML","ODOLY Genuine Suede Clogs for Women Men Soft Cork Footbed Leather Mules Comfort Potato Shoes with Arch Support  Light Grey 42","ODOLY","Clothing, Shoes & Jewelry","$975,613.27","29,573","$32.99","$11.99","$21.00","139","3","7","1","12/10/2024","ODOLY","4.4","4.567 x 5.748 x 12.008 in","Large standard","1.499 lb","Color Name, Size Name"
"B0BF98WCLJ","Crocs Classic Clog Jade Stone Men's 17  Women's 19 Medium","Crocs","Clothing, Shoes & Jewelry","$1,367,284.18","31,753","$43.06","$15.49","$27.57","140","3","5","1","09/13/2022","Orva Stores","3.6","5.24 x 11.46 x 14.8 in","Large standard","1.389 lb","Color, Size"
"B098TQDX5V","WallFlower Women's InstaStretch Luscious Curvy Bootcut Jeans  Albury  1","WallFlower","Clothing, Shoes & Jewelry","$1,047,322.24","33,872","$30.92","$11.40","$19.52","141","7","5","1","07/07/2021","Amazon.com","4.0","2.05 x 9.29 x 13.62 in","Large standard","0.95 lb","N.A."
"B0DH6ZW9DX","Under Armour Men's Tech Golf Polo  (455) Blue Calm / / Pitch Gray  Large","Under Armour","Clothing, Shoes & Jewelry","$1,070,091.00","26,422","$40.50","$12.59","$27.91","143","5","4","8","09/16/2024","Amazon.com","5.0","1.457 x 10.118 x 12.008 in","Large standard","0.551 lb","N.A."
"B0DH6TZB84","Under Armour Men's Tech Golf Polo  (651) Maroon Mist / / Pitch Gray  X-Large Tall","Under Armour","Clothing, Shoes & Jewelry","$1,068,592.50","31,662","$33.75","$13.13","$20.62","143","2","4","5","09/16/2024","Amazon","4.5","3.307 x 10.827 x 13.465 in","Large standard","0.642 lb","N.A."
"B08LP1KPJ7","Under Armour Men's Tech Golf Polo  Phoenix Fire (296)/Pitch Gray  X-Large","Under Armour","Clothing, Shoes & Jewelry","$1,149,788.85","31,983","$35.95","$12.25","$23.70","143","22","5","20","10/22/2020","atlas6683","4.5","1.7 x 11.2 x 13.6 in","Large standard","0.701 lb","Color, Size"
