Catalyst Products Export 
Report Generated at: Tue Oct 14 2025 23:46:23 GMT+0800 (China Standard Time)
ASIN,Product Name,Brand,Category,Revenue (Monthly),Units Sold (Monthly),Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight,Variant Differences
"B097CS7SJ9","Hudson Baby Unisex Baby Premium Quilted Long Sleeve Sleeping Bag and Wearable Blanket  Blush Rose  18-24 Months","Hudson Baby","Baby","$50,120.14","2,786","$17.99","$9.46","$8.53","1,218","40","7","2","06/17/2021","Amazon.com","4.5","2.13 x 10.35 x 12.2 in","Large standard","0.75 lb","Color Name, Size Name"
"B0FMZ3H8SB","Nanit Essentials Smart Baby Monitor with Floor Stand – 1080p HD Wi-Fi Camera  Sleep Tracking  Two-Way Audio  Night Vision  Motion & Cry Notifications  White","Nanit","Baby","$982,775.43","2,457","$399.99","$77.82","$322.17","1,221","30","5","1","08/19/2025","Amazon.com","4.9","10.25 x 15 x 18 in","Large bulky","14.8 lb","N.A."
"B0DMBG67JZ","Hudson Baby Unisex Baby Long Sleeve Cotton Jersey Sleeping Bag  Sack  Blanket  Wildflower  6-12 Months","Hudson Baby","Baby","$21,473.52","2,732","$7.86","$7.27","$0.59","1,261","43","5","2","11/07/2024","Amazon.com","4.0","1.57 x 10.71 x 14.29 in","Large standard","0.421 lb","Color Name, Size Name"
"B0FBM92MX6","HIPHOP PANDA U-Shaped Pregnancy Pillow for Sleeping - Full Body Maternity Support Pillow with Removable Cover - Comfort for Back  HIPS  Legs  Belly - 57 Inch for Pregnant Women  Green","HIPHOP PANDA","Baby","$151,197.98","5,602","$26.99","$13.48","$13.51","1,262","50","5","1","06/06/2025","HIPHOP PANDA GIFT","4.5","6.06 x 11.5 x 15.12 in","Large standard","6.751 lb","Color Name, Size Name"
"B0CJ788SDN","Nanit Breathing Wear Band  0-3 Months  Blush - 100% Cotton  Works with Nanit Pro Baby Monitor to Track Breathing Motion Sensor-Free  Fits Newborns and Infants from 6-12.5 lbs.","Nanit","Baby","$61,369.30","3,070","$19.99","$8.14","$11.85","1,306","7","7","1","10/12/2023","Amazon.com","4.7","2.323 x 5.315 x 5.984 in","Large standard","0.22 lb","Color Name, Size Name"
"B0D4FC15XT","Babo Botanicals Sensitive Baby Fragrance-Free Diaper Cream - 25% Natural Zinc Oxide - Calendula  Shea & Cocoa Butter - EWG Verified - Vegan- from Birth on - 6 Ounce Jar","Babo Botanicals","Baby","$34,830.00","1,620","$21.50","$8.12","$13.38","1,308","47","7","1","05/17/2024","Amazon.com","4.7","2.32 x 2.56 x 2.68 in","Large standard","0.489 lb","Size Name"
"B0C53HV13F","kangaroo Headband Holder Hair Bows Organizer for Baby Girls Large Capacity Bow Holder Hair Accessories Wall Hanging Organizer for Toddler Baby Girl Nursery Room Decor","kangaroo","Baby","$61,961.25","3,875","$15.99","$8.76","$7.23","1,320","48","7","1","05/12/2023","Minuo Fashion","4.3","1.46 x 6.26 x 14.17 in","Large standard","0.84 lb","Color"
"B0BPBBSM2B","Glad for Kids Peppa Pig Paper Bibs - Cute Peppa Pig Design  Travel Bibs  24 Pack","Glad","Baby","$619,308.24","3,516","$176.14","$30.47","$145.67","1,355","1","6","1","05/23/2024","Amazon.com","4.0","N.A.","Small standard","N.A.","Style Name, Size Name"
"B0FDNS1515","Rootling Baby Feeding Pillow  Anti Overflow Feeding Pillow for Reducing Spit-Up  Safety Nursing Pillow  Baby Lounger Reflux Wedge Breastfeeding  Removable top and Bottom","Rootling","Baby","$149,664.45","3,055","$48.99","$15.74","$33.25","1,357","41","7","2","06/19/2025","Rootling","4.2","4.843 x 7.795 x 15.984 in","Large standard","2.535 lb","N.A."
"B0C9PSVZ5J","Zainpe 6Pcs Snap Muslin Cotton Baby Bibs Owl Fox Leaf Bear Bib with 6 Absorbent & Soft Layers Machine Washable Adjustable Burp Cloth for Infant Girl Boy Toddler Drooling Eating Teething 0 to 24 Months","Zainpe","Baby","$42,297.66","4,234","$9.99","$6.27","$3.72","1,382","40","7","1","06/29/2023","Zainpe","4.7","1.97 x 5.71 x 11.06 in","Large standard","0.331 lb","Color"
